target,ip,port,state,service
144.22.51.154,144.22.51.154,22,open,ssh
148.222.214.27,148.222.214.27,22,open,ssh
152.230.182.92,152.230.182.92,271,open,pt-tls
152.230.182.94,152.230.182.94,90,open,dnsix
152.231.89.36,152.231.89.36,3306,open,mysql
157.185.186.119,157.185.186.119,111,open,http
157.185.186.136,157.185.186.136,83,open,mit-ml-dev
157.185.186.147,157.185.186.147,2000,open,cisco-sccp
170.79.102.46,170.79.102.46,8000,open,http-alt
170.79.233.4,170.79.233.4,53,open,domain
186.64.119.186,186.64.119.186,465,open,smtps
190.98.242.147,190.98.242.147,64,open,covia
200.35.158.13,200.35.158.13,587,open,smtp
64.176.14.193,64.176.14.193,42625,open,
64.176.14.193,64.176.14.193,44229,open,
64.176.14.193,64.176.14.193,44879,open,
64.176.14.193,64.176.14.193,46848,open,
64.176.14.193,64.176.14.193,65287,open,
64.176.15.222,64.176.15.222,1638,open,ismc
64.176.15.222,64.176.15.222,27233,open,
64.176.5.248,64.176.5.248,22327,open,
64.176.5.248,64.176.5.248,27221,open,
